"ID","Gender","Education","Offences","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default","LoanAmt_raw"
"92381","Male","Diploma",0,19.25,511386,1.45,790460,23.37,82.16,258,"Salaried","Own","Debt_consolidation",1,"790460"
"92381","Male","Diploma",0,19.25,511386,1.45,790460,23.37,82.16,58,"Salaried","Own","Debt_consolidation",1,"790460"
"92779","Female","Grade 12",0,17.75,208068,1.23,560280,24.55,83.26,0.53,"Salaried","Mortgage","Vehicle",0,"560280"
"92779","Female","Grade 12",0,17.75,208068,1.23,560280,24.55,83.26,51,"Salaried","Mortgage","Vehicle",0,"560280"
"92961","Female","Grade 12",1,17.75,138592,1.73,397470,15.19,52.74,43.1,"Salaried","Mortgage","Vehicle",0,"397470"
"92961","Female","Grade 12",1,1775,138592,1.73,397470,15.19,52.74,43.1,"Salaried","Mortgage","Vehicle",0,"397470"
"93286","Male","Degree",1,3075,4584,0.36,11323,18.29,67.71,42.6,"Unemployed","Rent","Other",1,"11323"
"93286","Male","Degree",1,30.75,4584,0.36,11323,18.29,67.71,42.6,"Unemployed","Rent","Other",1,"11323"
"93764","Male","Grade 12",0,2075,586979,2.06,2228346,6.75,31.48,31.3,"Salaried","Own","Debt_consolidation",1,"2228346"
"93764","Male","Grade 12",0,20.75,586979,2.06,2228346,6.75,31.48,31.3,"Salaried","Own","Debt_consolidation",1,"2228346"
