"","ID","Gender","Education","Offences","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default"
"3528",42264,"Male","Diploma",0,32.25,3581,0.4,6515,25.27,83.62,50.5,"Unemployed","Rent","Debt_consolidation",1
"9459",95112,"Female","No records",1,19.75,366390,2.25,383142,21.63,75.52,52.8,"Self-employed","Mortgage","Vehicle",1
"9809",98362,"Female","Diploma",2,22.75,1127067,1.82,3576272,28.45,97.88,56.4,"Contract","Own","Debt_consolidation",1
"990",19113,"Female","Diploma",0,20.75,444551,1.1,478905,6.94,31.73,41.4,"Salaried","Own","Debt_consolidation",0
"424",13987,"Male","No records",1,23.75,1173585,1.51,865137,21.86,73.75,56.3,"Self-employed","Rent","Other",0
"1643",24894,"Female","Diploma",0,19.25,286576,2,584964,35.4,112.48,66.8,"Salaried","Mortgage","Vehicle",1
"1253",21363,"Male","Diploma",2,17.75,680377,1.88,331262,12.06,45.19,46.8,"Contract","Mortgage","Home_improvement",1
"2570",33253,"Male","Diploma",2,16.75,303089,2.09,481062,10.34,35.91,35.3,"Salaried","Mortgage","Home_improvement",0
"3111",38528,"Male","Degree",0,20.75,372816,1.34,921338,30.77,102.14,64.4,"Salaried","Own","Debt_consolidation",0
"5623",61346,"Male","Diploma",2,19.25,155999,1.71,139427,17.22,60.16,48.1,"Salaried","Own","Debt_consolidation",1
"7746",79857,"Male","Degree",0,25.25,1428218,3.01,1344218,6.2,26.68,29,"Self-employed","Rent","Other",0
"69",10632,"Male","Grade 12",0,16.75,365449,1.74,859240,16.25,63.48,46.3,"Salaried","Mortgage","Home_improvement",0
"6492",68951,"Male","Degree",0,18.75,141074,1.65,312588,17.75,63.61,45.6,"Salaried","Rent","Vehicle",0
"6482",68878,"Male","Grade 12",0,18.75,149353,0.88,559714,11.86,51.39,35.2,"Salaried","Rent","Vehicle",0
"794",17364,"Female","No records",1,16.25,190404,1.69,106080,13.9,49.47,40.1,"Salaried","Rent","Vehicle",0
