,ID,Gender,Education,Offences
0,10005,Male,Grade 12,4
1,10026,Male,Grade 12,0
2,10031,Male,Degree,0
3,10034,Female,Grade 12,0
4,10057,Male,Grade 12,2
5,10060,Female,Diploma,0
6,10062,Female,Degree,0
7,10072,Female,Degree,0
8,10074,Male,Degree,0
9,10079,Male,Grade 12,0
13,10100,Male,Grade 12,0
14,10104,Female,Diploma,0
15,10110,Male,Diploma,1
16,10113,Female,Grade 12,0
17,10125,Male,Diploma,1
18,10131,Male,Diploma,0
19,10133,Male,Degree,0
20,10134,Male,Grade 12,0
21,10157,Female,Diploma,0
22,10163,Male,Degree,0
23,10166,Male,Degree,0
25,10175,Male,Diploma,0
26,10192,Female,Diploma,0
27,10194,Female,Diploma,2
28,10201,Male,Grade 12,0
29,10229,Female,Grade 12,2
32,10255,Male,Grade 12,0
33,10265,Female,Degree,0
34,10276,Female,Grade 12,1
35,10284,Male,Diploma,1
36,10292,Male,Postgrad,0
37,10314,Male,Diploma,2
38,10322,Male,Grade 12,0
39,10323,Female,Grade 12,0
40,10335,Male,Grade 12,0
41,10339,Female,Grade 12,0
42,10346,Female,Grade 12,3
43,10359,Male,Diploma,0
44,10361,Male,Grade 12,3
45,10392,Male,Grade 12,0
46,10401,Male,Grade 12,0
47,10417,Female,Degree,0
48,10434,Male,Diploma,2
49,10447,Male,Grade 12,3
50,10453,Female,Grade 12,0
51,10456,Male,Degree,0
52,10467,Male,Degree,0
53,10487,Male,Degree,0
54,10499,Male,Diploma,0
55,10503,Female,Grade 12,0
56,10530,Female,Degree,0
57,10538,Male,Grade 12,0
58,10546,Female,Grade 12,0
59,10547,Male,Grade 12,1
60,10556,Male,Diploma,0
61,10571,Female,Degree,0
63,10580,Male,Diploma,1
64,10587,Male,Diploma,0
65,10598,Female,Grade 12,0
66,10601,Male,Diploma,4
67,10606,Male,Grade 12,0
68,10632,Male,Grade 12,0
69,10679,Male,Degree,0
70,10680,Female,Grade 12,1
72,10696,Male,Grade 12,0
74,10732,Male,Grade 12,2
77,10751,Male,Postgrad,1
78,10760,Female,Postgrad,1
79,10762,Female,Diploma,2
80,10768,Female,Degree,1
84,10819,Female,Diploma,0
85,10828,Female,Diploma,0
87,10838,Male,Diploma,0
88,10851,Female,Grade 12,2
89,10855,Male,Diploma,2
91,10877,Female,Diploma,1
92,10881,Male,Diploma,0
93,10891,Female,Diploma,0
94,10897,Female,Grade 12,1
95,10902,Male,Grade 12,0
96,10906,Male,Postgrad,0
98,10909,Male,Grade 12,0
100,10915,Male,Grade 12,2
101,10917,Female,Grade 12,0
102,10918,Female,Diploma,0
103,10930,Male,Grade 12,0
104,10940,Female,Diploma,1
106,10945,Male,Diploma,1
108,10989,Male,Diploma,1
109,10995,Female,Degree,0
110,11016,Female,Grade 12,1
111,11029,Female,Degree,0
113,11062,Male,Postgrad,0
114,11070,Male,Degree,0
115,11072,Female,Grade 12,2
116,11088,Female,Grade 12,0
119,11116,Female,Postgrad,3
120,11121,Male,Diploma,0
121,11140,Female,Postgrad,1
122,11157,Male,Diploma,1
123,11162,Male,Grade 12,0
124,11172,Male,Degree,2
125,11175,Female,Diploma,2
128,11196,Male,Postgrad,0
129,11220,Male,Diploma,0
130,11246,Female,Diploma,0
131,11249,Male,Grade 12,0
132,11251,Female,Degree,2
133,11257,Female,Grade 12,0
134,11258,Female,Grade 12,0
135,11263,Female,Degree,1
136,11281,Female,Diploma,2
137,11315,Female,Postgrad,0
138,11318,Female,Diploma,0
141,11395,Female,Grade 12,0
143,11398,Male,Grade 12,1
144,11412,Female,Diploma,0
145,11416,Female,Diploma,2
147,11437,Male,Grade 12,1
148,11460,Female,Grade 12,0
149,11471,Female,Grade 12,0
150,11472,Male,Diploma,2
151,11478,Female,Grade 12,1
153,11480,Female,Degree,1
154,11483,Male,Degree,0
155,11486,Male,Grade 12,1
157,11512,Male,Grade 12,0
159,11525,Male,Degree,1
164,11603,Male,Diploma,0
165,11610,Female,Diploma,0
166,11617,Male,Diploma,0
167,11619,Male,Diploma,0
170,11648,Female,Grade 12,1
171,11651,Female,Grade 12,1
172,11664,Female,Diploma,0
173,11671,Female,Grade 12,1
174,11684,Male,Diploma,2
175,11685,Male,Degree,1
176,11690,Male,Grade 12,0
177,11692,Female,Grade 12,0
179,11718,Female,Grade 12,1
181,11739,Male,Grade 12,0
182,11744,Male,Diploma,0
183,11755,Male,Grade 12,0
184,11764,Male,Postgrad,0
186,11774,Female,Diploma,0
187,11775,Male,Diploma,1
189,11782,Female,Grade 12,0
191,11811,Male,Diploma,0
195,11835,Male,Grade 12,1
196,11844,Male,Diploma,0
197,11845,Female,Degree,0
199,11865,Female,Grade 12,0
201,11899,Female,Diploma,0
202,11909,Female,Diploma,0
205,11922,Female,Grade 12,0
207,11957,Male,Grade 12,1
208,11961,Female,Diploma,2
210,11980,Female,Grade 12,0
211,11999,Male,Grade 12,0
212,12016,Male,Degree,1
213,12034,Female,Grade 12,0
214,12035,Female,Diploma,0
215,12043,Female,Degree,1
216,12044,Female,Diploma,1
217,12050,Male,Diploma,4
218,12062,Female,Grade 12,0
219,12072,Male,Grade 12,2
223,12093,Male,Degree,2
224,12103,Female,Grade 12,0
226,12114,Male,Grade 12,1
228,12127,Female,Diploma,0
230,12157,Male,Grade 12,0
231,12163,Female,Diploma,3
232,12168,Female,Degree,0
233,12199,Male,Grade 12,2
234,12200,Female,Grade 12,0
