"","ID","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default","X","Gender","Education","Offences"
"1",10005,17.75,180437,1.75,537093,7.02,35.28,32.4,"Salaried","Mortgage","Vehicle",1,0,"Male","Grade 12",4
"2",10026,33.75,7701,0.51,25785,24.24,82.92,50.8,"Unemployed","Rent","Vehicle",0,1,"Male","Grade 12",0
"3",10031,18.75,331021,1.72,974609,23,76.17,54,"Salaried","Rent","Vehicle",0,2,"Male","Degree",0
"4",10034,18.75,1141777,1.27,3939620,28.03,91.63,52.8,"Self-employed","Mortgage","Home_improvement",0,3,"Female","Grade 12",0
"5",10057,35,2188,0.52,4568,4.46,22.91,31.2,"Unemployed","Rent","Debt_consolidation",0,4,"Male","Grade 12",2
"6",10060,19.25,216599,1.27,222022,19.04,74.38,48.2,"Salaried","Own","Debt_consolidation",1,5,"Female","Diploma",0
"7",10062,17.75,508186,1.44,1482142,35.69,114.58,59.8,"Salaried","Mortgage","Vehicle",1,6,"Female","Degree",0
"8",10072,18.25,551978,1.23,599773,38.01,121.81,72.2,"Salaried","Mortgage","Home_improvement",1,7,"Female","Degree",0
"9",10074,35,5552,0.47,4820,11.06,48.85,39.6,"Unemployed","Rent","Debt_consolidation",1,8,"Male","Degree",0
"10",10079,20.75,279544,1.66,293855,6.21,29.92,29.6,"Salaried","Own","Debt_consolidation",0,9,"Male","Grade 12",0
"11",10085,16.75,374953,0.93,476904,11.27,45.28,42.5,"Salaried","Mortgage","Home_improvement",0,10,"Female","No records",2
"12",10087,23.25,1076872,1.91,3290525,34.87,113.89,67.7,"Self-employed","Mortgage","Debt_consolidation",1,11,"Female","No records",0
"13",10091,16.75,230877,1.81,315432,21.37,78,43.8,"Salaried","Mortgage","Home_improvement",1,12,"Female","No records",2
"14",10100,19.25,327330,1.7,885411,36.76,118.08,64.2,"Salaried","Mortgage","Vehicle",1,13,"Male","Grade 12",0
"15",10104,17.75,453576,1.34,1242525,30.46,109.16,53.2,"Salaried","Mortgage","Vehicle",0,14,"Female","Diploma",0
"16",10110,22.25,282845,1.26,420529,1.46,16.47,35.1,"Salaried","Rent","Vehicle",0,15,"Male","Diploma",1
"17",10113,17.75,391867,1.3,262191,14.55,49.24,49,"Salaried","Mortgage","Vehicle",0,16,"Female","Grade 12",0
"18",10125,14.25,214972,1.59,73649,22.84,76.69,57.1,"Salaried","Mortgage","Home_improvement",1,17,"Male","Diploma",1
"19",10131,20.25,99211,1.49,172550,37.61,125.48,64.1,"Salaried","Rent","Vehicle",0,18,"Male","Diploma",0
"20",10133,21.25,264602,1.17,447607,2.91,21.03,35.7,"Salaried","Mortgage","Vehicle",1,19,"Male","Degree",0
"21",10134,22.75,1163432,1.5,1165731,35.01,115.03,68.3,"Contract","Mortgage","Vehicle",1,20,"Male","Grade 12",0
"22",10157,18.75,338218,1.32,580411,25.97,85.64,53.6,"Salaried","Rent","Vehicle",0,21,"Female","Diploma",0
"23",10163,17.75,593623,1.96,1065988,20.15,69.14,50.4,"Salaried","Mortgage","Vehicle",0,22,"Male","Degree",0
"24",10166,23.25,300825,1.13,723432,37.62,123.7,64.7,"Salaried","Rent","Other",1,23,"Male","Degree",0
"25",10169,26.75,775467,1.61,2850574,39.15,124.26,70,"Contract","Rent","Other",0,24,"Male","No records",2
"26",10175,21.75,373922,1.34,1027922,8.19,30.12,43,"Salaried","Rent","Other",1,25,"Male","Diploma",0
"27",10192,20.75,676362,1.55,2061168,5.75,30.28,34.1,"Salaried","Own","Debt_consolidation",0,26,"Female","Diploma",0
"28",10194,19.25,705746,1.71,714150,23.32,78.86,53.6,"Salaried","Own","Debt_consolidation",0,27,"Female","Diploma",2
"29",10201,33.75,7082,0.42,14793,36.05,121.09,63.9,"Unemployed","Rent","Debt_consolidation",1,28,"Male","Grade 12",0
"30",10229,16.75,754173,1.11,860750,12.22,49.07,37.8,"Salaried","Mortgage","Home_improvement",0,29,"Female","Grade 12",2
"31",10239,22.75,1018912,1.26,1950656,26.57,90.14,61.4,"Contract","Mortgage","Vehicle",1,30,"Male","No records",1
"32",10251,19.25,322862,1.4,340262,25.33,86.42,52.5,"Salaried","Own","Debt_consolidation",0,31,"Female","No records",1
"33",10255,22.25,80506,1.38,238877,0.9,5.92,31.9,"Salaried","Rent","Vehicle",0,32,"Male","Grade 12",0
"34",10265,16.75,537837,1.16,963193,24.2,82.26,51.5,"Salaried","Mortgage","Home_improvement",1,33,"Female","Degree",0
"35",10276,22.25,1161563,1.59,508947,34.45,110.59,64.4,"Contract","Mortgage","Debt_consolidation",1,34,"Female","Grade 12",1
