ID,Gender,Education,Offences
10005,Male,Grade 12,4
10026,Male,Grade 12,0
10031,Male,Degree,0
10034,Female,Grade 12,0
10057,Male,Grade 12,2
10060,Female,Diploma,0
10062,Female,Degree,0
10072,Female,Degree,0
10074,Male,Degree,0
10079,Male,Grade 12,0
10085,Female,No records,2
10087,Female,No records,0
10091,Female,No records,2
10100,Male,Grade 12,0
10104,Female,Diploma,0
10110,Male,Diploma,1
10113,Female,Grade 12,0
10125,Male,Diploma,1
10131,Male,Diploma,0
10133,Male,Degree,0
10134,Male,Grade 12,0
10157,Female,Diploma,0
10163,Male,Degree,0
10166,Male,Degree,0
10169,Male,No records,2
10175,Male,Diploma,0
10192,Female,Diploma,0
10194,Female,Diploma,2
10201,Male,Grade 12,0
10229,Female,Grade 12,2
10239,Male,No records,1
10251,Female,No records,1
10255,Male,Grade 12,0
10265,Female,Degree,0
10276,Female,Grade 12,1
10284,Male,Diploma,1
10292,Male,Postgrad,0
10314,Male,Diploma,2
10322,Male,Grade 12,0
10323,Female,Grade 12,0
10335,Male,Grade 12,0
10339,Female,Grade 12,0
10346,Female,Grade 12,3
10359,Male,Diploma,0
10361,Male,Grade 12,3
10392,Male,Grade 12,0
10401,Male,Grade 12,0
10417,Female,Degree,0
10434,Male,Diploma,2
10447,Male,Grade 12,3
10453,Female,Grade 12,0
10456,Male,Degree,0
10467,Male,Degree,0
10487,Male,Degree,0
10499,Male,Diploma,0
10503,Female,Grade 12,0
10530,Female,Degree,0
10538,Male,Grade 12,0
10546,Female,Grade 12,0
10547,Male,Grade 12,1
10556,Male,Diploma,0
10571,Female,Degree,0
10576,Female,No records,0
10580,Male,Diploma,1
10587,Male,Diploma,0
10598,Female,Grade 12,0
10601,Male,Diploma,4
10606,Male,Grade 12,0
10632,Male,Grade 12,0
10679,Male,Degree,0
10680,Female,Grade 12,1
10692,Male,No records,0
10696,Male,Grade 12,0
10705,Male,No records,0
10732,Male,Grade 12,2
10737,Female,No records,4
10743,Female,No records,0
10751,Male,Postgrad,1
10760,Female,Postgrad,1
10762,Female,Diploma,2
10768,Female,Degree,1
10769,Female,No records,0
10776,Male,No records,0
10811,Female,No records,0
10819,Female,Diploma,0
10828,Female,Diploma,0
10837,Male,No records,2
10838,Male,Diploma,0
10851,Female,Grade 12,2
10855,Male,Diploma,2
10856,Female,No records,0
10877,Female,Diploma,1
10881,Male,Diploma,0
10891,Female,Diploma,0
10897,Female,Grade 12,1
10902,Male,Grade 12,0
10906,Male,Postgrad,0
10908,Female,No records,0
10909,Male,Grade 12,0
10910,Male,No records,1
10915,Male,Grade 12,2
10917,Female,Grade 12,0
10918,Female,Diploma,0
10930,Male,Grade 12,0
10940,Female,Diploma,1
10941,Female,No records,0
10945,Male,Diploma,1
10957,Male,No records,1
10989,Male,Diploma,1
10995,Female,Degree,0
11016,Female,Grade 12,1
11029,Female,Degree,0
11041,Female,No records,0
11062,Male,Postgrad,0
11070,Male,Degree,0
11072,Female,Grade 12,2
11088,Female,Grade 12,0
11107,Female,No records,1
11109,Male,No records,0
11116,Female,Postgrad,3
11121,Male,Diploma,0
11140,Female,Postgrad,1
11157,Male,Diploma,1
11162,Male,Grade 12,0
11172,Male,Degree,2
11175,Female,Diploma,2
11184,Female,No records,0
11194,Male,No records,0
11196,Male,Postgrad,0
11220,Male,Diploma,0
11246,Female,Diploma,0
11249,Male,Grade 12,0
11251,Female,Degree,2
11257,Female,Grade 12,0
11258,Female,Grade 12,0
11263,Female,Degree,1
11281,Female,Diploma,2
11315,Female,Postgrad,0
11318,Female,Diploma,0
11361,Male,No records,0
11391,Female,No records,0
11395,Female,Grade 12,0
11397,Female,No records,1
11398,Male,Grade 12,1
11412,Female,Diploma,0
11416,Female,Diploma,2
11424,Female,No records,0
11437,Male,Grade 12,1
11460,Female,Grade 12,0
11471,Female,Grade 12,0
11472,Male,Diploma,2
11478,Female,Grade 12,1
11479,Male,No records,3
11480,Female,Degree,1
11483,Male,Degree,0
11486,Male,Grade 12,1
11509,Male,No records,0
11512,Male,Grade 12,0
11519,Male,No records,0
11525,Male,Degree,1
11532,Male,No records,0
11544,Female,No records,0
11567,Female,No records,0
11571,Female,No records,0
11603,Male,Diploma,0
11610,Female,Diploma,0
11617,Male,Diploma,0
11619,Male,Diploma,0
11625,Female,No records,0
11642,Male,No records,1
11648,Female,Grade 12,1
11651,Female,Grade 12,1
11664,Female,Diploma,0
11671,Female,Grade 12,1
11684,Male,Diploma,2
11685,Male,Degree,1
11690,Male,Grade 12,0
11692,Female,Grade 12,0
11706,Female,No records,2
11718,Female,Grade 12,1
11730,Female,No records,0
11739,Male,Grade 12,0
11744,Male,Diploma,0
11755,Male,Grade 12,0
11764,Male,Postgrad,0
11768,Female,No records,2
11774,Female,Diploma,0
11775,Male,Diploma,1
11778,Male,No records,2
11782,Female,Grade 12,0
11787,Female,No records,0
11811,Male,Diploma,0
11826,Male,No records,0
11828,Female,No records,1
11834,Female,No records,1
11835,Male,Grade 12,1
11844,Male,Diploma,0
11845,Female,Degree,0
11850,Male,No records,0
11865,Female,Grade 12,0
11896,Female,No records,0
11899,Female,Diploma,0
11909,Female,Diploma,0
11915,Male,No records,1
11916,Female,No records,1
11922,Female,Grade 12,0
11955,Female,No records,2
11957,Male,Grade 12,1
11961,Female,Diploma,2
11969,Female,No records,0
11980,Female,Grade 12,0
11999,Male,Grade 12,0
12016,Male,Degree,1
12034,Female,Grade 12,0
12035,Female,Diploma,0
12043,Female,Degree,1
12044,Female,Diploma,1
12050,Male,Diploma,4
12062,Female,Grade 12,0
12072,Male,Grade 12,2
12078,Female,No records,0
12086,Male,No records,0
12091,Male,No records,2
12093,Male,Degree,2
12103,Female,Grade 12,0
12113,Female,No records,1
12114,Male,Grade 12,1
12118,Male,No records,0
12127,Female,Diploma,0
12131,Male,No records,0
12157,Male,Grade 12,0
12163,Female,Diploma,3
12168,Female,Degree,0
12199,Male,Grade 12,2
12200,Female,Grade 12,0
12211,Female,No records,0
12234,Female,Grade 12,3
12242,Female,Diploma,1
12249,Female,Diploma,0
12258,Male,Grade 12,0
12266,Male,No records,0
12287,Female,Grade 12,2
12291,Male,Diploma,0
12301,Female,Diploma,0
12307,Male,Diploma,0
12333,Male,No records,2
12341,Male,No records,1
12342,Female,Degree,0
12353,Female,Grade 12,0
12366,Female,Grade 12,2
12370,Male,Diploma,1
12372,Female,No records,0
12378,Female,Grade 12,2
12381,Male,Diploma,0
12396,Male,Grade 12,0
12412,Male,Grade 12,1
12413,Male,Diploma,2
12417,Male,Grade 12,1
12424,Female,No records,0
12430,Male,Grade 12,0
12442,Female,Grade 12,0
12466,Female,Degree,0
12468,Female,Grade 12,0
12487,Male,No records,0
12490,Female,Grade 12,0
12502,Male,Grade 12,1
12505,Female,Grade 12,0
12507,Male,Diploma,1
12508,Male,Diploma,0
12512,Male,Grade 12,0
12517,Male,No records,0
12519,Male,Diploma,0
12523,Male,Postgrad,0
12525,Female,Degree,3
12537,Male,Grade 12,1
12551,Female,Diploma,1
12553,Male,Grade 12,1
12560,Male,Degree,0
12564,Male,Diploma,0
12568,Male,Postgrad,0
12589,Female,Diploma,1
12605,Female,Postgrad,0
12617,Male,Grade 12,2
12622,Male,Grade 12,0
12631,Male,Degree,0
12632,Female,Grade 12,0
12657,Female,Diploma,1
12660,Female,No records,2
12674,Male,Degree,0
12690,Female,No records,1
12707,Male,Grade 12,0
12708,Male,Diploma,0
12739,Male,Diploma,0
12741,Male,Degree,2
12742,Male,No records,1
12743,Female,Grade 12,0
12744,Female,Grade 12,0
12754,Female,Diploma,0
12772,Male,Grade 12,0
12773,Male,No records,0
12784,Female,Grade 12,0
12795,Female,Degree,0
12796,Male,Diploma,2
12798,Female,Postgrad,0
12813,Male,Degree,1
12822,Male,Diploma,0
12832,Female,Grade 12,0
12837,Male,Grade 12,0
12840,Male,Diploma,1
12847,Male,Diploma,0
12872,Female,Grade 12,1
12887,Male,Grade 12,0
12897,Female,Degree,0
12900,Male,Degree,3
12911,Female,Postgrad,4
12915,Female,Grade 12,0
12924,Female,No records,0
12936,Female,Postgrad,0
12942,Male,Diploma,1
12954,Male,Degree,0
12960,Male,Degree,0
12961,Female,Grade 12,0
12967,Male,Grade 12,0
12971,Male,Grade 12,0
12979,Female,Diploma,0
