,ID,Gender,Education,Offences
0,10005,Male,Grade 12,4
1,10026,Male,Grade 12,0
2,10031,Male,Degree,0
3,10034,Female,Grade 12,0
4,10057,Male,Grade 12,2
5,10060,Female,Diploma,0
6,10062,Female,Degree,0
7,10072,Female,Degree,0
8,10074,Male,Degree,0
9,10079,Male,Grade 12,0
10,10085,Female,No records,2
11,10087,Female,No records,0
12,10091,Female,No records,2
13,10100,Male,Grade 12,0
14,10104,Female,Diploma,0
15,10110,Male,Diploma,1
16,10113,Female,Grade 12,0
17,10125,Male,Diploma,1
18,10131,Male,Diploma,0
19,10133,Male,Degree,0
20,10134,Male,Grade 12,0
21,10157,Female,Diploma,0
22,10163,Male,Degree,0
23,10166,Male,Degree,0
24,10169,Male,No records,2
25,10175,Male,Diploma,0
26,10192,Female,Diploma,0
27,10194,Female,Diploma,2
28,10201,Male,Grade 12,0
29,10229,Female,Grade 12,2
30,10239,Male,No records,1
31,10251,Female,No records,1
32,10255,Male,Grade 12,0
33,10265,Female,Degree,0
34,10276,Female,Grade 12,1
35,10284,Male,Diploma,1
36,10292,Male,Postgrad,0
37,10314,Male,Diploma,2
38,10322,Male,Grade 12,0
39,10323,Female,Grade 12,0
40,10335,Male,Grade 12,0
41,10339,Female,Grade 12,0
42,10346,Female,Grade 12,3
43,10359,Male,Diploma,0
44,10361,Male,Grade 12,3
45,10392,Male,Grade 12,0
46,10401,Male,Grade 12,0
47,10417,Female,Degree,0
48,10434,Male,Diploma,2
49,10447,Male,Grade 12,3
50,10453,Female,Grade 12,0
51,10456,Male,Degree,0
52,10467,Male,Degree,0
53,10487,Male,Degree,0
54,10499,Male,Diploma,0
55,10503,Female,Grade 12,0
56,10530,Female,Degree,0
57,10538,Male,Grade 12,0
58,10546,Female,Grade 12,0
59,10547,Male,Grade 12,1
60,10556,Male,Diploma,0
61,10571,Female,Degree,0
62,10576,Female,No records,0
63,10580,Male,Diploma,1
64,10587,Male,Diploma,0
65,10598,Female,Grade 12,0
66,10601,Male,Diploma,4
67,10606,Male,Grade 12,0
68,10632,Male,Grade 12,0
69,10679,Male,Degree,0
70,10680,Female,Grade 12,1
71,10692,Male,No records,0
72,10696,Male,Grade 12,0
73,10705,Male,No records,0
74,10732,Male,Grade 12,2
75,10737,Female,No records,4
76,10743,Female,No records,0
77,10751,Male,Postgrad,1
78,10760,Female,Postgrad,1
79,10762,Female,Diploma,2
80,10768,Female,Degree,1
81,10769,Female,No records,0
82,10776,Male,No records,0
83,10811,Female,No records,0
84,10819,Female,Diploma,0
85,10828,Female,Diploma,0
86,10837,Male,No records,2
87,10838,Male,Diploma,0
88,10851,Female,Grade 12,2
89,10855,Male,Diploma,2
90,10856,Female,No records,0
91,10877,Female,Diploma,1
92,10881,Male,Diploma,0
93,10891,Female,Diploma,0
94,10897,Female,Grade 12,1
95,10902,Male,Grade 12,0
96,10906,Male,Postgrad,0
97,10908,Female,No records,0
98,10909,Male,Grade 12,0
99,10910,Male,No records,1
100,10915,Male,Grade 12,2
101,10917,Female,Grade 12,0
102,10918,Female,Diploma,0
103,10930,Male,Grade 12,0
104,10940,Female,Diploma,1
105,10941,Female,No records,0
106,10945,Male,Diploma,1
107,10957,Male,No records,1
108,10989,Male,Diploma,1
109,10995,Female,Degree,0
110,11016,Female,Grade 12,1
111,11029,Female,Degree,0
112,11041,Female,No records,0
113,11062,Male,Postgrad,0
114,11070,Male,Degree,0
115,11072,Female,Grade 12,2
116,11088,Female,Grade 12,0
117,11107,Female,No records,1
118,11109,Male,No records,0
119,11116,Female,Postgrad,3
120,11121,Male,Diploma,0
121,11140,Female,Postgrad,1
122,11157,Male,Diploma,1
123,11162,Male,Grade 12,0
124,11172,Male,Degree,2
125,11175,Female,Diploma,2
126,11184,Female,No records,0
127,11194,Male,No records,0
128,11196,Male,Postgrad,0
129,11220,Male,Diploma,0
130,11246,Female,Diploma,0
131,11249,Male,Grade 12,0
132,11251,Female,Degree,2
133,11257,Female,Grade 12,0
134,11258,Female,Grade 12,0
135,11263,Female,Degree,1
136,11281,Female,Diploma,2
137,11315,Female,Postgrad,0
138,11318,Female,Diploma,0
139,11361,Male,No records,0
140,11391,Female,No records,0
141,11395,Female,Grade 12,0
142,11397,Female,No records,1
143,11398,Male,Grade 12,1
144,11412,Female,Diploma,0
145,11416,Female,Diploma,2
146,11424,Female,No records,0
147,11437,Male,Grade 12,1
148,11460,Female,Grade 12,0
149,11471,Female,Grade 12,0
150,11472,Male,Diploma,2
151,11478,Female,Grade 12,1
152,11479,Male,No records,3
153,11480,Female,Degree,1
154,11483,Male,Degree,0
155,11486,Male,Grade 12,1
156,11509,Male,No records,0
157,11512,Male,Grade 12,0
158,11519,Male,No records,0
159,11525,Male,Degree,1
160,11532,Male,No records,0
161,11544,Female,No records,0
162,11567,Female,No records,0
163,11571,Female,No records,0
164,11603,Male,Diploma,0
165,11610,Female,Diploma,0
166,11617,Male,Diploma,0
167,11619,Male,Diploma,0
168,11625,Female,No records,0
169,11642,Male,No records,1
170,11648,Female,Grade 12,1
171,11651,Female,Grade 12,1
172,11664,Female,Diploma,0
173,11671,Female,Grade 12,1
174,11684,Male,Diploma,2
175,11685,Male,Degree,1
176,11690,Male,Grade 12,0
177,11692,Female,Grade 12,0
178,11706,Female,No records,2
179,11718,Female,Grade 12,1
180,11730,Female,No records,0
181,11739,Male,Grade 12,0
182,11744,Male,Diploma,0
